Contratada;"Nº Processo";"Tipo de contrato";"Tipo de processo";"Data do Ateste";"Data do Pagamento";"Nº Empenho";"Tipo Rubrica";PTRES;"Nº Ordem Bancária";Justificativa;Tema;"IDN Nota Fiscal";"Nº Nota Fiscal";"Valor bruto da contratada";"Valor líquido da contratada";"Veículo / Fornecedor";"Valor bruto do fornecedor";"Valor líquido do fornecedor";"Nome fantasia do veículo";"Grupo / Editora";Meios;"Tipo da praça de veiculação";"Praças de Veiculação"
"57.118.929/0002-18 / NOVA S/B COMUNICAÇÃO LTDA";00170.003241/2016-24;Publicidade;Midia;27/12/2016;29/12/2016;2016NE800006;Institucional;107783;16OB801370;;"CAMPANHA DE PRESTAÇÃO DE CONTAS E AÇÕES DE OPORTUNIDADE";266155;55481;1915,2;1871,5;"13.420.609/0001-61 / INSTITUTO DE RADIODIFUSAO EDUCATIVA DA BAHIA IRDEB";1612,8;1612,8;"TVE BAHIA - TV EDUCATIVA DA BAHIA";;Televisão;Regional;"SALVADOR - BA"
"57.118.929/0002-18 / NOVA S/B COMUNICAÇÃO LTDA";00170.003241/2016-24;Publicidade;Midia;27/12/2016;29/12/2016;2016NE800006;Institucional;107783;16OB801370;;"CAMPANHA DE PRESTAÇÃO DE CONTAS E AÇÕES DE OPORTUNIDADE";266156;55482;1915,2;1871,5;"13.420.609/0001-61 / INSTITUTO DE RADIODIFUSAO EDUCATIVA DA BAHIA IRDEB";1612,8;1612,8;"TVE BAHIA";;Televisão;Regional;"SALVADOR - BA"
"05.428.409/0003-99 / PROPEG COMUNICAÇÃO SA";00170.003244/2016-68;Publicidade;Midia;27/12/2016;29/12/2016;2016NE800007;Institucional;107783;16OB801372;;"CAMPANHA DE PRESTAÇÃO DE CONTAS E AÇÕES DE OPORTUNIDADE";266286;26799;1539;1503,89;"10.371.708/0002-93 / ASSOCIACAO COORDENADORA DOS USUARIOS DO CANAL COMUNITARIO DE NOVO HAMBURGO E VALE DOS SINOS E CAI";1296;1296;CANOAS;;Televisão;Regional;"CANOAS - RS"
"05.428.409/0003-99 / PROPEG COMUNICAÇÃO SA";00170.003244/2016-68;Publicidade;Midia;27/12/2016;29/12/2016;2016NE800007;Institucional;107783;16OB801372;;"CAMPANHA DE PRESTAÇÃO DE CONTAS E AÇÕES DE OPORTUNIDADE";266293;26805;15077,45;14733,45;"02.579.308/0001-69 / RADIO E TELEVISAO CAPITAL LTDA";12696,8;11496,95;RECORD;RECORD;Televisão;Regional;"NATAL - RN"
"05.428.409/0003-99 / PROPEG COMUNICAÇÃO SA";00170.003244/2016-68;Publicidade;Midia;27/12/2016;29/12/2016;2016NE800007;Institucional;107783;16OB801372;;"CAMPANHA DE PRESTAÇÃO DE CONTAS E AÇÕES DE OPORTUNIDADE";266287;26800;1539;1503,89;"10.371.708/0002-93 / ASSOCIACAO COORDENADORA DOS USUARIOS DO CANAL COMUNITARIO DE NOVO HAMBURGO E VALE DOS SINOS E CAI";1296;1296;CANOAS;;Televisão;Regional;"CANOAS - RS"
"05.428.409/0003-99 / PROPEG COMUNICAÇÃO SA";00170.003245/2016-11;Publicidade;Midia;27/12/2016;29/12/2016;2016NE800083;Institucional;107783;16OB801373;;"CRISE HÍDRICA - 2016";266266;27032;56455,84;55167,76;"15.199.136/0001-40 / TV ARATU S A";47541,76;43049,06;ARATU;SBT;Televisão;Regional;"SALVADOR - BA"
"05.428.409/0003-99 / PROPEG COMUNICAÇÃO SA";00170.003245/2016-11;Publicidade;Midia;27/12/2016;29/12/2016;2016NE800083;Institucional;107783;16OB801373;;"CRISE HÍDRICA - 2016";266288;26801;12884,51;12590,54;"23.592.108/0001-16 / RAIMUNDO ANSELMO LIMA MORORO E CIA LTDA - ME";10850,11;10850,11;"CANAL 54 FORTALEZA";;Televisão;Regional;"FORTALEZA - CE"
"05.428.409/0003-99 / PROPEG COMUNICAÇÃO SA";00170.003245/2016-11;Publicidade;Midia;27/12/2016;29/12/2016;2016NE800083;Institucional;107783;16OB801373;;"CRISE HÍDRICA - 2016";265937;26532;5572,61;5445,47;"12.748.471/0001-61 / TELEVISAO NOVOS TEMPOS S/A";4692,72;4249,26;BAND;BAND;Televisão;Regional;"NATAL - RN"
"04.895.208/0004-10 / LEO BURNETT PUBLICIDADE LTDA";00170.003234/2016-22;Publicidade;Midia;27/12/2016;28/12/2016;2016NE800005;Institucional;107783;"16OB801360 / 16OB801376";;"Campanha Bandeiras Tarifárias";265683;18112;143260;139991,41;"01.871.985/0001-93 / TVCI TV COMUNICACOES INTERATIVAS LTDA - EPP";120640;109239,52;TVCI;;Televisão;Nacional;Brasil
"57.118.929/0002-18 / NOVA S/B COMUNICAÇÃO LTDA";00170.003238/2016-19;Publicidade;Midia;27/12/2016;28/12/2016;2016NE800082;Institucional;107783;16OB801363;;"CRISE HÍDRICA - 2016";265109;54899;12514,64;12229,11;"02.579.308/0001-69 / RADIO E TELEVISAO CAPITAL LTDA";10538,64;9542,74;"REC    ";RECORD;Televisão;Regional;"MACEIO - AL"
