Contratada;"Nº Processo";"Tipo de contrato";"Tipo de processo";"Data do Ateste";"Data do Pagamento";"Nº Empenho";"Tipo Rubrica";PTRES;"Nº Ordem Bancária";Justificativa;Tema;"IDN Nota Fiscal";"Nº Nota Fiscal";"Valor bruto da contratada";"Valor líquido da contratada";"Veículo / Fornecedor";"Valor bruto do fornecedor";"Valor líquido do fornecedor";"Nome fantasia do veículo";"Grupo / Editora";Meios;"Tipo da praça de veiculação";"Praças de Veiculação"
"04.784.569/0002-27 / CALIA Y2 PROPAGANDA E MARKETING LTDA";00170.003559/2019-58;Publicidade;Midia;21/10/2019;01/11/2019;2018NE800190;Institucional;107783;2019OB801205;;"CAMPANHA DE PRESTAÇÃO DE CONTAS";317281;12886;751,35;734,21;"03.657.806/0001-45 / TV AMAZONIA LTDA";632,72;572,93;"BAND MACAPA";BAND;Televisão;Regional;"MACAPA - AP"
"04.784.569/0002-27 / CALIA Y2 PROPAGANDA E MARKETING LTDA";00170.003559/2019-58;Publicidade;Midia;21/10/2019;01/11/2019;2018NE800190;Institucional;107783;2019OB801205;;"CAMPANHA DE PRESTAÇÃO DE CONTAS";317282;12887;119782,08;117049,16;"59.486.605/0001-87 / FUNDACAO EVANGELICA TRINDADE";100869,12;100869,12;"TV GOSPEL";;Televisão;Nacional;Brasil
"05.411.322/0008-13 / PPR ¿ Profissionais de Publicidade Reunidos LTDA";00170.003560/2019-82;Publicidade;Midia;21/10/2019;01/11/2019;2019NE800001;Institucional;107783;2019OB801206;;"7 DE SETEMBRO - Semana da Pátria";317279;10487;74162,7;72470,61;"59.016.873/0001-35 / FUNDACAO SECULO VINTE E UM";62452,8;62452,8;"SECULO XXI";;Televisão;Nacional;Brasil
"05.411.322/0008-13 / PPR ¿ Profissionais de Publicidade Reunidos LTDA";00170.003560/2019-82;Publicidade;Midia;21/10/2019;01/11/2019;2019NE800001;Institucional;107783;2019OB801206;;"7 DE SETEMBRO - Semana da Pátria";317139;10430;23256;22725,4;"04.448.996/0001-53 / INTERTEVE SERVICOS LTDA";19584;17733,31;"IDEAL TV";;Televisão;Nacional;Brasil
"05.411.322/0008-13 / PPR ¿ Profissionais de Publicidade Reunidos LTDA";00170.003560/2019-82;Publicidade;Midia;21/10/2019;01/11/2019;2019NE800001;Institucional;107783;2019OB801206;;"7 DE SETEMBRO - Semana da Pátria";317283;10485;69935,58;68339,95;"01.385.423/0001-30 / REDE NOVO TEMPO DE COMUNICACAO";58893,12;58893,12;"TV NOVO TEMPO - NACIONAL";;Televisão;Nacional;Brasil
"33.673.286/0004-78 / ARTPLAN COMUNICAÇÃO S/A";00170.003564/2019-61;Publicidade;Midia;21/10/2019;01/11/2019;2019NE800086;Institucional;107783;2019OB801212;;"Nova Previdência - Fase 3 - PÓS PRORROGAÇÃO CONTRATUAL II";317299;38282;4032,56;3940,55;"60.509.239/0007-09 / RADIO E TELEVISAO BANDEIRANTES SA";3395,84;3074,93;"BAND BRASILIA";BAND;Televisão;Regional;"BRASILIA - DF"
"33.673.286/0004-78 / ARTPLAN COMUNICAÇÃO S/A";00170.003564/2019-61;Publicidade;Midia;21/10/2019;01/11/2019;2019NE800086;Institucional;107783;2019OB801212;;"Nova Previdência - Fase 3 - PÓS PRORROGAÇÃO CONTRATUAL II";317039;38160;244986;239396,45;"45.039.237/0001-14 / TVSBT CANAL 4 DE SAO PAULO S/A";206304;186808,27;SBT-NACIONAL;SBT;Televisão;Nacional;Brasil
"33.673.286/0004-78 / ARTPLAN COMUNICAÇÃO S/A";00170.003564/2019-61;Publicidade;Midia;21/10/2019;01/11/2019;2019NE800003;Institucional;107783;2019OB801212;;"Nova Previdência - Fase 3";317360;37443;500645,31;489222,69;"45.039.237/0001-14 / TVSBT CANAL 4 DE SAO PAULO S/A";421596,05;381755,22;SBT-NACIONAL;SBT;Televisão;Nacional;Brasil
"33.673.286/0004-78 / ARTPLAN COMUNICAÇÃO S/A";00170.003564/2019-61;Publicidade;Midia;21/10/2019;01/11/2019;2019NE800003;Institucional;107783;2019OB801212;;"Nova Previdência - Fase 3";317324;37871;57952,08;56629,86;"02.131.538/0001-60 / TV OMEGA LTDA.";48801,78;44190,01;"REDE TV! NACIONAL";"REDE TV";Televisão;Nacional;Brasil
"33.673.286/0004-78 / ARTPLAN COMUNICAÇÃO S/A";00170.003564/2019-61;Publicidade;Midia;21/10/2019;01/11/2019;2019NE800003;Institucional;107783;2019OB801212;;"Nova Previdência - Fase 3";317323;37441;69770,09;68178,23;"60.509.239/0001-13 / RADIO E TELEVISAO BANDEIRANTES S.A.";58753,76;53201,53;"BAND - NACIONAL";BAND;Televisão;Nacional;Brasil
